Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,50,91,75,132,12.31,0.000%,46.46840,7.81,6.99,172.0
user_info_2,50,91,75,135,12.90,0.000%,46.29630,21.66,11.35,479.0
user_info_3,50,89,76,115,8.41,0.000%,48.44961,17.65,11.88,373.0
object_info_1,50,87,75,116,8.44,0.000%,48.97160,11.10,8.03,232.0
object_info_2,50,86,76,114,8.16,0.000%,48.16956,22.53,7.95,479.0
object_info_3,50,85,76,109,7.59,0.000%,48.12320,24.81,7.94,528.0
object_info_4,50,85,75,114,8.11,0.000%,48.63813,11.40,8.03,240.0
TOTAL,350,88,75,135,9.96,0.000%,220.82019,77.11,41.00,357.6
