Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,250,555,291,1255,310.34,0.000%,125.75453,21.12,18.91,172.0
user_info_2,250,439,281,1266,238.23,0.000%,97.77083,45.73,23.97,479.0
user_info_3,250,1392,306,21085,3568.36,2.000%,10.84740,4.45,2.61,419.9
object_info_1,250,3604,87,21079,5925.58,6.000%,10.49935,3.91,1.62,381.1
object_info_2,250,5428,76,21068,6828.20,9.200%,10.17750,6.81,1.53,684.9
object_info_3,250,2130,75,21073,4371.11,2.800%,10.27496,5.91,1.65,589.3
object_info_4,250,1644,75,21063,3735.30,2.000%,10.01442,2.83,1.62,289.5
TOTAL,1750,2170,75,21085,4580.09,3.143%,64.34533,27.07,11.60,430.8
